,Kanji,Meaning,Radicals,Sound
1,働く,to work,Work,はたら
2,初級,elementary level,First + Rank,しょきゅう
3,中級,intermediate level,Rank,ちゅうきゅう
2,仲良し,close friendship,Relationship + Good,なかよ
4,仲良く,on good terms (with),Relationship + Good,なかよ
1,老衰,senility,Elderly + Decline,ろうすい
2,老齢,old age,Elderly + Age,ろうれい
3,老朽,infirmity (due to old age),Elderly + Rot,ろうきゅう
4,老眼,presbyopia,Elderly + Eyeball,ろうがん
5,老婆,old woman,Elderly + Old Woman,ろうば
6,老舗,long-established shop,Elderly + Shop,しにせ
1,趣味,hobby,Gist + Flavor,しゅみ
5,興味,interest (in something),Interest + Flavor,きょうみ
8,吟味,close examination,Recital + Flavor,ぎんみ
9,味噌汁,miso soup,Flavor + Boisterous + Soup,みそしる
10,珍味,delicacy,Rare + Flavor,ちんみ
11,嫌味,disagreeableness,Dislike + Flavor,いやみ
12,脳みそ,brains,Brain,のう
0,命令,order,Fate + Orders,めいれい
3,革命,revolution,Leather + Fate,かくめい
4,寿命,lifespan,Lifespan + Fate,じゅみょう
5,懸命,eager,Suspend + Fate,けんめい
6,致命的,fatal,Do + Fate + Target,ちめいてき
1,郵便,mail service,Mail + Convenience,ゆうびん
2,便利,convenient,Convenience + Profit,べんり
5,頼る,to rely on,Trust,たよ
6,便秘,constipation,Convenience + Secret,べんぴ
8,郵便箱,mailbox (for delivered mail),Mail + Convenience + Box,ゆうびんばこ
3,初版,first edition,First + Edition,しょはん
0,拾う,to pick up,Pick Up,ひろ
1,沿岸,coast,Run Alongside + Coast,えんがん
0,成功,success,Become + Achievement,せいこう
1,功績,achievement,Achievement + Exploits,こうせき
2,即効,immediate effect,Instant + Effective,そっこう
0,良い,good,Good,よ
3,良質,good quality,Good + Quality,りょうしつ
5,良好,good,Good + Like,りょうこう
6,いい加減,irresponsible,Add + Decrease,かげん
8,潔い,"gracious (defeat, apology, etc.)",Pure,いさぎよ
2,好き,liking,Like,す
3,好む,to like,Like,この
5,格好,shape,Status + Like,かっこう
0,指輪,(finger) ring,Finger + Wheel,ゆびわ
4,指導,guidance,Finger + Lead,しどう
5,指す,to point,Finger,さ
7,指摘,pointing out,Finger + Pluck,してき
8,指示,indication,Finger + Indicate,しじ
9,指揮,command,Finger + Brandish,しき
10,指差す,to point at,Finger + Distinction,ゆびさ
13,指紋,fingerprint,Finger + Family Crest,しもん
15,指圧,shiatsu,Finger + Pressure,しあつ
1,放射,radiation,Release + Shoot,ほうしゃ
2,放す,to release,Release,はな
4,放棄,abandonment,Release + Abandon,ほうき
5,放射能,radioactivity,Release + Shoot + Ability,ほうしゃのう
6,放つ,"to fire (gun, arrow, questions, etc.)",Release,はな
7,放題,(doing) as one pleases,Release + Topic,ほうだい
8,放浪,wandering,Release + Wander,ほうろう
9,奔放,wild,Run + Release,ほんぽう
10,放れる,to get free (from),Release,はな
11,食べ放題,all-you-can-eat,Eat + Release + Topic,たほうだい
0,権利,right,Rights + Profit,けんり
1,利益,profit,Profit + Benefit,りえき
3,効く,to be effective,Effective,き
4,利息,"interest (on a loan, deposit etc.)",Profit + Breath,りそく
5,利潤,profit,Profit + Watered,りじゅん
0,成る,to become,Become,な
1,成る程,I see,Become + Extent,なほど
3,賛成,approval,Agree + Become,さんせい
4,成績,results,Become + Exploits,せいせき
5,完成,completion,Perfect + Become,かんせい
6,構成,composition,Set Up + Become,こうせい
7,可也,considerably,Possible + Considerably,かなり
8,成熟,maturity,Become + Ripen,せいじゅく
0,秒針,second hand (of clock),Second + Needle,びょうしん
1,追う,to chase,Follow,お
2,追い越す,to pass (e.g. car),Follow + Go Beyond,おこ
3,追随,following (in the footsteps of),Follow + All,ついずい
4,追悼,mourning,Follow + Grieve,ついとう
1,注射,injection,Pour + Shoot,ちゅうしゃ
3,忠告,advice,Loyalty + Announce,ちゅうこく
4,注ぐ,to pour (into a vessel),Pour,つ
5,注釈,notes,Pour + Explanation,ちゅうしゃく
2,争う,to compete,Conflict,あらそ
1,差別,distinction,Distinction + Separate,さべつ
2,別れる,to part (usu. of people),Separate,わか
4,別に,(not) particularly,Separate,べつ
5,別荘,holiday house,Separate + Villa,べっそう
1,植える,to plant,Plant,う
2,植樹,tree-planting,Plant + Wood,しょくじゅ
0,階段,stairs,Floor + Steps,かいだん
1,段階,stage,Steps + Floor,だんかい
0,短い,short,Short,みじか
1,簡単,simple,Simplicity + Simple,かんたん
2,短期,short-term,Short + Period Of Time,たんき
4,短銃,pistol,Short + Gun,たんじゅう
5,短距離,short distance,Short + Distance + Detach,たんきょり
0,孤島,solitary island,Orphan + Island,ことう
1,広島,"Hiroshima (city, prefecture)",Island,ひろしま
2,徳島県,Tokushima Prefecture (Shikoku),Virtue + Island + Prefecture,とくしまけん
3,鹿児島県,Kagoshima Prefecture (Kyūshū),Deer + Child + Island + Prefecture,かごしまけん
0,温泉,hot spring,Warm + Spring,おんせん
1,暖かい,warm,Warm,あたた
4,温暖,warm,Warm + Warm,おんだん
5,温める,to warm (up),Warm,あたた
7,温床,hotbed,Warm + Floor,おんしょう
2,深い,deep,Deep,ふか
3,深刻,serious,Deep + Carve,しんこく
5,奥深い,profound,Interior + Deep,おくふか
0,議員,member of an assembly,Deliberation + Member,ぎいん
2,職員,staff member,Employment + Member,しょくいん
5,委員,committee member,Committee + Member,いいん
6,満員,full house,Full + Member,まんいん
10,駅員,(train) station attendant,Station + Member,えきいん
11,党員,party member,Group + Member,とういん
12,兵員,military strength,Soldier + Member,へいいん
0,邸宅,(large) house,Residence + House,ていたく
1,第一,first,Ordinal Number Prefix,だいいち
2,第一印象,first impression,Ordinal Number Prefix + Seal + Elephant,だいいちいんしょう
3,及第,passing (an examination),Reach + Ordinal Number Prefix,きゅうだい
2,貴族,nobility,Valuable + Tribe,きぞく
5,皇族,imperial family,Emperor + Tribe,こうぞく
6,動詞,verb,Move + Part Of Speech,どうし
7,動く,to move,Move,うご
8,感動,being deeply moved emotionally,Feeling + Move,かんどう
9,動かす,to move,Move,うご
11,移動,movement,Shift + Move,いどう
13,動き,movement,Move,うご
14,動揺,shaking,Move + Shake,どうよう
20,振動,oscillation,Shake + Move,しんどう
21,鼓動,beat,Beat + Move,こどう
1,商品,commodity,Merchandise + Product,しょうひん
1,垣根,hedge,Hedge + Root,かきね
3,根拠,basis,Root + Based On,こんきょ
6,禍根,root of an evil,Evil + Root,かこん
0,悲しい,sad,Sad,かな
1,悲しむ,to be sad,Sad,かな
2,悲劇,tragedy,Sad + Drama,ひげき
3,悲惨,disastrous,Sad + Disaster,ひさん
4,悲しみ,sadness,Sad,かな
5,慈悲,mercy,Mercy + Sad,じひ
6,悲哀,sorrow,Sad + Pathetic,ひあい
0,暑い,hot,Hot,あつ
1,蒸し暑い,humid,Steam + Hot,むあつ
2,酷暑,intense heat,Cruel + Hot,こくしょ
2,登録,registration,Climb + Record,とうろく
0,寒い,cold (e.g. weather),Cold,さむ
1,勲章,decoration,Merit + Chapter,くんしょう
2,紋章,crest,Family Crest + Chapter,もんしょう
1,児童,children,Child + Juvenile,じどう
2,童謡,children's song,Juvenile + Noh Chanting,どうよう
3,河童,kappa,River + Juvenile,かっぱ
0,悪魔,devil,Bad + Devil,あくま
1,悪い,bad,Bad,わる
2,悪戯,mischief,Bad + Play,いたずら
3,憎む,to hate,Hate,にく
5,憎い,hateful,Hate,にく
6,悪夢,nightmare,Bad + Dream,あくむ
7,嫌悪,disgust,Dislike + Bad,けんお
9,悪霊,evil spirit,Bad + Ghost,あくりょう
12,劣悪,"poor (quality, conditions, etc.)",Inferiority + Bad,れつあく
13,悪循環,vicious circle,Bad + Circulation + Loop,あくじゅんかん
14,凶悪,atrocious,Villain + Bad,きょうあく
15,善悪,right and wrong,Morally Good + Bad,ぜんあく
17,悪賢い,cunning,Bad + Clever,わるがしこ
18,悪影響,bad influence,Bad + Shadow + Echo,あくえいきょう
19,醜悪,ugly,Ugly + Bad,しゅうあく
4,都庁,Tokyo Metropolitan Government (Office),Metropolis + Agency,とちょう
0,流れる,to stream,Stream,なが
1,流す,to drain,Stream,なが
4,漂流,drifting,Drift + Stream,ひょうりゅう
5,潮流,tide,Tide + Stream,ちょうりゅう
7,流行語,buzzword,Stream + Go + Language,りゅうこうご
8,渓流,mountain stream,Valley + Stream,けいりゅう
9,本流,main course (of a river),Stream,ほんりゅう
10,流浪,vagrancy,Stream + Wander,るろう
0,消費,consumption,Extinguish + Expense,しょうひ
1,消す,to erase,Extinguish,け
2,消える,to disappear,Extinguish,き
4,消しゴム,eraser,Extinguish,け
5,抹消,erasure,Erase + Extinguish,まっしょう
6,消化不良,indigestion,Extinguish + Change + Good,しょうかふりょう
0,野菜,vegetable,Field + Vegetable,やさい
1,野球,baseball,Field + Sphere,やきゅう
2,野蛮,savage,Field + Barbarian,やばん
3,野暮,boorish,Field + Livelihood,
4,粗野,rustic,Coarse + Field,そや
5,野獣,wild beast,Field + Beast,やじゅう
6,野郎,guy,Field + Guy,やろう
1,香港,Hong Kong,Fragrance + Harbor,ホンコン
2,卓球,table tennis,Table + Sphere,たっきゅう
3,眼球,eyeball,Eyeball + Sphere,がんきゅう
4,球威,(pitcher's) stuff,Sphere + Majesty,きゅうい
0,祭り,festival,Festival,まつ
0,着る,to wear (from the shoulders down),Wear,き
1,着く,to arrive at,Wear,つ
5,執着,attachment,Tenacious + Wear,しゅうちゃく
6,到着,arrival,Arrival + Wear,とうちゃく
8,履く,"to put on (lower-body clothing, e.g. pants, skirt, footwear)",Boots,は
11,着替え,changing clothes,Wear + Replace,きが
1,窒息,suffocation,Suffocate + Breath,ちっそく
3,嘆息,"sigh (of grief, disappointment, etc.)",Sigh + Breath,たんそく
4,憩う,to rest,Rest,いこ
2,銭湯,public bath,Coin + Hot Water,せんとう
1,旅館,ryokan,Trip + Public Building,りょかん
2,旅券,passport,Trip + Ticket,りょけん
2,陽気,cheerful,Sunshine + Energy,ようき
2,延期,postponement,Prolong + Period Of Time,えんき
5,期限,term,Period Of Time + Limit,きげん
7,乾季,dry season,Dry + Seasons,かんき
9,刑期,prison term,Punish + Period Of Time,けいき
10,周期,cycle,Circumference + Period Of Time,しゅうき
0,駅弁,boxed lunch bought at a station (often a local specialty),Station + Dialect,えきべん
4,駅長,station master,Station + Long,えきちょう
0,問題,question (e.g. on a test),Problem + Topic,もんだい
1,質問,question,Quality + Problem,しつもん
2,訪問,call,Visit + Problem,ほうもん
3,疑問,doubt,Doubt + Problem,ぎもん
5,拷問,torture,Torture + Problem,ごうもん
6,検問,inspection,Examine + Problem,けんもん
7,専門,speciality,Specialty + Gate,せんもん
8,尋問,questioning,Inquire + Problem,じんもん
9,顧問,adviser,Review + Problem,こもん
10,諮問,consultation,Consult + Problem,しもん
1,模様,pattern,Imitation + Formal Name Title,もよう
4,逆さま,inverted,Reverse,さか
5,皆様,everyone,All + Formal Name Title,みなさま
6,奥様,wife,Interior + Formal Name Title,おくさま
7,お疲れ様,thank you (for your hard work),Exhausted + Formal Name Title,つかさま
8,殿様,nobleman,Milord + Formal Name Title,とのさま
9,姫様,princess,Princess + Formal Name Title,ひめさま
10,貴様,you,Valuable + Formal Name Title,きさま
0,武士,samurai,Military + Samurai,ぶし
1,紳士,gentleman,Gentleman + Samurai,しんし
2,修士,master's (degree),Discipline + Samurai,しゅうし
3,兵士,soldier,Soldier + Samurai,へいし
4,弁護士,lawyer,Dialect + Defend + Samurai,べんごし
5,騎士,(medieval) knight,Horse + Samurai,きし
6,棋士,professional shogi player,Chess Piece + Samurai,きし
2,容疑,suspicion,Form + Doubt,ようぎ
3,嫌疑,suspicion,Dislike + Doubt,けんぎ
2,想像,imagination,Concept + Statue,そうぞう
6,感想,impressions,Feeling + Concept,かんそう
7,妄想,delusion,Reckless + Concept,もうそう
8,幻想,fantasy,Illusion + Concept,げんそう
0,熱い,hot (to the touch),Heat,あつ
2,情熱,passion,Feeling + Heat,じょうねつ
3,熱烈,ardent,Heat + Violent,ねつれつ
5,耐熱,heat-resisting,Resistant + Heat,たいねつ
0,感情,emotion,Feeling + Feeling,かんじょう
1,感覚,sense,Feeling + Memorize,かんかく
2,感染,infection,Feeling + Dye,かんせん
3,感じる,to feel,Feeling,かん
4,感謝,thanks,Feeling + Apologize,かんしゃ
6,感じ,feeling,Feeling,かん
11,敏感,sensitive,Alert + Feeling,びんかん
13,感触,feel (of something),Feeling + Touch,かんしょく
14,鈍感,thickheaded,Dull + Feeling,どんかん
15,劣等感,inferiority complex,Inferiority + Equal + Feeling,れっとうかん
16,感銘,deep impression,Feeling + Inscription,かんめい
17,責任感,sense of responsibility,Blame + Duty + Feeling,せきにんかん
18,快感,pleasant feeling,Pleasant + Feeling,かいかん
20,霊感,inspiration,Ghost + Feeling,れいかん
21,感嘆符,exclamation point,Feeling + Sigh + Token,かんたんふ
22,感慨,deep emotion,Feeling + Sigh,かんがい
0,情報,information,Feeling + News,じょうほう
3,状況,state of affairs,Condition + Condition,じょうきょう
4,状態,state,Condition + Appearance,じょうたい
5,愛情,love,Love + Feeling,あいじょう
9,情け,pity,Feeling,なさ
10,陳情,petition,Exhibit + Feeling,ちんじょう
11,怠惰,lazy,Lazy + Lazy,たいだ
12,情けない,miserable,Feeling,なさ
13,薄情,unfeeling,Dilute + Feeling,はくじょう
14,叙情,lyricism,Describe + Feeling,じょじょう
2,整然,orderly,Arrange + Nature,せいぜん
3,均整,symmetry,Equal + Arrange,きんせい
0,扶養,support (e.g. of one's dependents),Aid + Foster,ふよう
1,養う,to support,Foster,やしな
3,滋養,nourishment,Nourishing + Foster,じよう
4,培養,culture,Cultivate + Foster,ばいよう
5,養鶏,poultry raising,Foster + Chicken,ようけい
0,訓練,training,Instruction + Practice,くんれん
2,洗練,refinement,Wash + Practice,せんれん
3,鍛錬,tempering (metal),Forge + Tempering,たんれん
0,幸福,happiness,Happiness + Luck,こうふく
1,福祉,welfare,Luck + Welfare,ふくし
2,裕福,wealthy,Abundant + Luck,ゆうふく
4,福寿,long life and happiness,Luck + Lifespan,ふくじゅ
5,福袋,lucky-dip bag,Luck + Sack,ふくぶくろ
1,暗い,dark,Dark,くら
2,暮れる,to get dark,Livelihood,く
3,暗殺,assassination,Dark + Kill,あんさつ
4,無闇に,thoughtlessly,Nothing + Darkness,
5,暗礁,reef,Dark + Reef,あんしょう
6,暗闇,darkness,Dark + Darkness,くらやみ
0,謝る,to apologize,Apologize,あやま
2,慰謝,consolation,Consolation + Apologize,いしゃ
3,新陳代謝,renewal,New + Exhibit + Apologize,しんちんたいしゃ
4,慰謝料,consolation money,Consolation + Apologize + Fee,いしゃりょう
0,桟橋,wharf,Jetty + Bridge,さんばし
2,輪郭,contour,Wheel + Enclosure,りんかく
3,輪ゴム,rubber band,Wheel,わ
0,機械,machine,Machine + Contraption,きかい
1,武器,weapon,Military + Container,ぶき
4,兵器,arms,Soldier + Container,へいき
7,陶器,pottery,Pottery + Container,とうき
8,核兵器,nuclear weapon,Nucleus + Soldier + Container,かくへいき
9,掃除機,vacuum cleaner,Sweep + Exclude + Machine,そうじき
10,炊飯器,rice cooker,Cook + Meal + Container,すいはんき
11,凶器,dangerous weapon,Villain + Container,きょうき
12,加湿器,humidifier,Add + Damp + Container,かしつき
14,循環器,circulatory organ,Circulation + Loop + Container,じゅんかんき
15,弦楽器,string instrument,Chord + Comfort + Container,げんがっき
16,泌尿器,urinary organs,Secrete + Urine + Container,ひにょうき
0,皆さん,all,All,みな
2,映像,image (on a screen),Reflect + Statue,えいぞう
3,映る,to be reflected,Reflect,うつ
4,映す,to project,Reflect,うつ
1,銀座,Ginza (district in Tokyo),Silver + Sit,ぎんざ
4,水銀,mercury (Hg),Silver,すいぎん
0,仏像,statue of Buddha,Buddha + Statue,ぶつぞう
4,銅像,bronze statue,Copper + Statue,どうぞう
5,肖像,portrait,Resemblance + Statue,しょうぞう
0,請願,petition,Request + Request,せいがん
1,願望,desire,Request + Hope,がんぼう
2,念願,one's heart's desire,Thought + Request,ねんがん
3,お願い,request,Request,ねが
5,祈願,prayer (for something),Pray + Request,きがん
0,宿題,homework,Lodge + Topic,しゅくだい
1,宿泊,accommodation,Lodge + Overnight,しゅくはく
0,褒める,to praise,Praise,ほ
2,表彰,(official) commendation,Express + Patent,ひょうしょう
3,褒賞,prize,Praise + Prize,ほうしょう
6,迎賓館,reception hall (esp. for visiting state dignitaries),Welcome + VIP + Public Building,げいひんかん
7,入館料,admission fee,Public Building + Fee,にゅうかんりょう
5,副題,subtitle,Vice + Topic,ふくだい
1,無料,free (of charge),Nothing + Fee,むりょう
3,資料,material,Resources + Fee,しりょう
4,燃料,fuel,Burn + Fee,ねんりょう
6,香辛料,spice,Fragrance + Spicy + Fee,こうしんりょう
7,給料,salary,Salary + Fee,きゅうりょう
9,材料,materials,Lumber + Fee,ざいりょう
10,肥料,manure,Obese + Fee,ひりょう
3,殺す,to kill,Kill,ころ
4,殺菌,sterilization,Kill + Bacteria,さっきん
5,虐殺,slaughter,Oppress + Kill,ぎゃくさつ
7,抹殺,erasure,Erase + Kill,まっさつ
8,絞殺,strangling (to death),Strangle + Kill,こうさつ
11,併殺,double play,Join + Kill,へいさつ
12,銃殺,death by shooting,Gun + Kill,じゅうさつ
13,黙殺,ignoring,Shut Up + Kill,もくさつ
0,選ぶ,to choose,Choose,えら
1,選挙,election,Choose + Raise,せんきょ
3,選択,choice,Choose + Select,せんたく
4,抽選,lottery,Pluck + Choose,ちゅうせん
0,偶然,coincidence,Accidentally + Nature,ぐうぜん
2,突然,abrupt,Stab + Nature,とつぜん
4,依然,still,Reliant + Nature,いぜん
7,敢然,boldly,Daring + Nature,かんぜん
8,漠然,vague,Desert + Nature,ばくぜん
9,超自然的,supernatural,Ultra + Self + Nature + Target,ちょうしぜんてき
0,メガネ,glasses,,
1,双眼鏡,binoculars,Pair + Eyeball + Mirror,そうがんきょう
0,残念,regrettable,Remainder + Thought,ざんねん
1,観念,idea,View + Thought,かんねん
3,概念,general idea,Approximation + Thought,がいねん
6,丹念,painstaking,Rust Colored + Thought,たんねん
0,技術,technology,Skill + Art,ぎじゅつ
1,演技,acting,Perform + Skill,えんぎ
2,技能,technical skill,Skill + Ability,ぎのう
4,完結,conclusion,Perfect + Bind,かんけつ
1,素敵,lovely,Element + Enemy,
2,比較的,comparatively,Compare + Contrast + Target,ひかくてき
4,経済的,economic,Passage Of Time + Come To An End + Target,けいざいてき
7,効果的,effective,Effective + Fruit + Target,こうかてき
9,典型的,typical,Rule + Model + Target,てんけいてき
11,劇的,dramatic,Drama + Target,げきてき
13,創造的,creative,Create + Create + Target,そうぞうてき
18,普遍的,universal,Normal + Universal + Target,ふへんてき
0,囲む,to surround,Surround,かこ
1,周囲,surroundings,Circumference + Surround,しゅうい
2,範囲,extent,Example + Surround,はんい
4,包囲,siege,Wrap + Surround,ほうい
5,囲碁,go (board game),Surround + Go,いご
1,密か,secret,Secrecy,ひそ
6,私邸,private residence,I + Residence,してい
7,私大,private university,I,しだい
8,私営,privately operated,I + Manage,しえい
9,私財,private funds,I + Wealth,しざい
0,芸術,art,Acting + Art,げいじゅつ
1,陶芸,ceramic art,Pottery + Acting,とうげい
4,演芸,entertainment,Perform + Acting,えんげい
5,芸者,geisha,Acting + Someone,げいしゃ
1,残る,to remain,Remainder,のこ
2,残す,to leave (behind),Remainder,のこ
3,残り,remainder,Remainder,のこ
4,残酷,cruel,Remainder + Cruel,ざんこく
6,残虐,cruel,Remainder + Oppress,ざんぎゃく
7,残額,remaining amount,Remainder + Amount,ざんがく
8,残余,remainder,Remainder + Surplus,ざんよ
0,基礎,foundation,Foundation + Foundation,きそ
2,基準,standard,Foundation + Standard,きじゅん
3,基盤,base,Foundation + Tray,きばん
3,性格,character (of a person),Gender + Status,せいかく
4,異性,the opposite sex,Differ + Gender,いせい
5,可能性,potentiality,Possible + Ability + Gender,かのうせい
7,慢性,chronic (illness),Ridicule + Gender,まんせい
9,惰性,force of habit,Lazy + Gender,だせい
10,甲斐性,resourcefulness,Turtle Shell + Patterned + Gender,かいしょう
4,魔術,magic,Devil + Art,まじゅつ
0,妥協,compromise,Gentle + Cooperation,だきょう
0,参る,to go,Participate,まい
1,参加,participation,Participate + Add,さんか
4,降参,surrender,Descend + Participate,こうさん
0,希望,hope,Wish + Hope,きぼう
1,望む,to desire,Hope,のぞ
2,望み,wish,Hope,のぞ
4,絶望,despair,Extinction + Hope,ぜつぼう
5,志望,wish,Intention + Hope,しぼう
7,眺望,view,Stare + Hope,ちょうぼう
3,素材,ingredient,Element + Lumber,そざい
4,取材,"gathering material (for an article, novel, etc.)",Take + Lumber,しゅざい
5,鋼材,steel material,Steel + Lumber,こうざい
0,約束,promise,Promise + Bundle,やくそく
1,束縛,restraint,Bundle + Bind,そくばく
0,例えば,for example,Example,たと
1,比例,proportion,Compare + Example,ひれい
5,恒例,established practice,Constant + Example,こうれい
0,価格,price,Value + Status,かかく
1,資格,qualifications,Resources + Status,しかく
6,骨格,skeleton,Bone + Status,こっかく
4,紳士協定,gentlemen's agreement,Gentleman + Samurai + Cooperation + Determine,しんしきょうてい
0,季節,season,Seasons + Season,きせつ
0,硬い,hard,Stiff,かた
1,固まる,to harden,Hard,かた
2,頑固,stubborn,Stubborn + Hard,がんこ
3,固める,to harden,Hard,かた
4,凝固,coagulation,Congeal + Hard,ぎょうこ
5,固有名詞,proper noun,Hard + Have + Part Of Speech,こゆうめいし
1,請求,claim,Request + Request,せいきゅう
2,求める,to want,Request,もと
4,欲求,desire,Want + Request,よっきゅう
5,求職,job hunting,Request + Employment,きゅうしょく
6,求婚,marriage proposal,Request + Marriage,きゅうこん
0,契約,contract,Pledge + Promise,けいやく
3,条約,treaty,Clause + Promise,じょうやく
4,倹約,thrift,Thrifty + Promise,けんやく
5,誓約,oath,Vow + Promise,せいやく
6,盟約,oath,Alliance + Promise,めいやく
3,可能,possible,Possible + Ability,かのう
0,骨折,bone fracture,Bone + Fold,こっせつ
1,露骨,open,Expose + Bone,ろこつ
3,拳骨,(clenched) fist,Fist + Bone,げんこつ
2,頑張る,to persevere,Stubborn + Stretch,
3,頑張れ,hang in there,Stubborn + Stretch,がんば
1,折る,to break,Fold,お
2,折れる,to break,Fold,お
5,解析,analysis,Untie + Analysis,かいせき
0,儀式,ceremony,Ceremony + Ritual,ぎしき
1,株式,share (in a company),Stocks + Ritual,かぶしき
2,葬式,funeral,Burial + Ritual,そうしき
3,結婚式,marriage ceremony,Bind + Marriage + Ritual,けっこんしき
0,法律,law,Method + Law,ほうりつ
2,憲法,constitution,Constitution + Method,けんぽう
5,寸法,measurement,Measurement + Method,すんぽう
6,法廷,court (of law),Method + Courts,ほうてい
8,魔法,magic,Devil + Method,まほう
10,法規,laws and regulations,Method + Standard,ほうき
0,遅い,slow,Slow,おそ
2,晩御飯,dinner,Night + Honorable + Meal,ばんごはん
4,晩酌,drink at home with one's evening meal,Night + Serve,ばんしゃく
1,区域,area,District + Region,くいき
0,昼寝,(afternoon) nap,Noon + Lie Down,ひるね
1,昼ご飯,lunch,Noon + Meal,ひるはん
0,帰る,to return,Return,かえ
1,帰郷,homecoming,Return + Hometown,ききょう
0,溶岩,lava,Melt + Boulder,ようがん
2,岩礁,reef,Boulder + Reef,がんしょう
3,計る,to measure,Measure,はか
5,余計,extra,Surplus + Measure,よけい
7,累計,cumulative total,Accumulate + Measure,るいけい
2,単に,simply,Simple,たん
3,単純,simple,Simple + Pure,たんじゅん
1,寿司,sushi,Lifespan + Director,
2,回転寿司,conveyor belt sushi,Times + Revolve + Lifespan + Director,かいてんずし
0,建築,construction,Build + Construct,けんちく
2,丈夫,healthy,Height + Husband,じょうぶ
4,夫妻,husband and wife,Husband + Wife,ふさい
6,一夫多妻,polygamy,Husband + Many + Wife,いっぷたさい
1,春巻き,spring roll,Spring + Scroll,はるま
0,建設,construction,Build + Establish,けんせつ
3,再建,rebuilding,Again + Build,さいけん
4,建てる,to build,Build,た
5,建つ,to be erected,Build,た
0,浅い,shallow,Shallow,あさ
1,勇敢,brave,Courage + Daring,ゆうかん
2,勇む,to be in high spirits,Courage,いさ
0,世紀,century,Account,せいき
1,規律,order,Standard + Law,きりつ
3,紀元後,post-era,Account + Behind,きげんご
0,並ぶ,to line up,Line Up,なら
1,陳列,exhibition,Exhibit + Row,ちんれつ
2,羅列,enumeration,Spread Out + Row,られつ
3,並列,arranging in a line,Line Up + Row,へいれつ
0,ご飯,cooked rice,Meal,はん
3,背丈,stature,Back + Height,せたけ
0,晴れ,clear weather,Clear Up,は
1,晴れる,to clear up,Clear Up,は
0,軍隊,armed forces,Army + Squad,ぐんたい
1,軍艦,warship,Army + Warship,ぐんかん
2,将軍,general,Commander + Army,しょうぐん
3,陸軍,army,Land + Army,りくぐん
0,猫舌,dislike of very hot food or drink,Cat + Tongue,ねこじた
2,招き猫,beckoning cat,Beckon + Cat,まねねこ
0,泣く,to cry,Cry,な
2,英雄,hero,England + Male,えいゆう
4,英訳,English translation,England + Translation,えいやく
1,変わる,to change,Change,か
2,変える,to change,Change,か
4,変更,change,Change + Again,へんこう
5,変遷,change,Change + Transition,へんせん
6,変装,disguise,Change + Attire,へんそう
7,変換,change,Change + Exchange,へんかん
9,変態,transformation,Change + Appearance,へんたい
10,事変,accident,Action + Change,じへん
11,変死,unnatural death,Change + Death,へんし
0,信頼,trust (in),Believe + Trust,しんらい
2,信仰,(religious) faith,Believe + Look Up To,しんこう
3,迷信,superstition,Astray + Believe,めいしん
6,信じる,to believe,Believe,しん
10,信奉,belief,Believe + Dedicate,しんぽう
3,仏壇,Buddhist (household) altar,Buddha + Podium,ぶつだん
4,仏典,Buddhist scriptures,Buddha + Rule,ぶってん
0,存在,existence,Suppose + Exist,そんざい
1,保存,preservation,Preserve + Suppose,ほぞん
3,存じる,to know,Suppose,ぞん
4,依存,dependence,Reliant + Suppose,いぞん
5,既存,existing,Previously + Suppose,きそん
2,辞書,dictionary,Quit + Write,じしょ
4,辞める,to resign,Quit,や
5,辞職,resignation,Quit + Employment,じしょく
8,世辞,flattery,Quit,せじ
9,弔辞,message of condolence,Condolence + Quit,ちょうじ
0,喜ぶ,to be delighted,Rejoice,よろこ
1,喜劇,comedy,Rejoice + Drama,きげき
2,喜び,joy,Rejoice,よろこ
3,喜寿,77th birthday,Rejoice + Lifespan,きじゅ
0,危険,danger,Dangerous + Risky,きけん
1,冒険,adventure,Dare + Risky,ぼうけん
2,保険,insurance,Preserve + Risky,ほけん
3,真剣,serious,Reality + Sword,しんけん
0,専攻,major subject,Specialty + Aggression,せんこう
0,取る,to take,Take,と
1,取れる,"to come off (of a button, handle, lid, etc.)",Take,と
4,取り戻す,to take back,Take + Return,ともど
6,取り扱う,to handle,Take + Handle,とあつか
7,摂取,intake (e.g. of salt),In Addition + Take,せっしゅ
8,搾取,exploitation,Squeeze + Take,さくしゅ
11,刈り取る,to mow,Prune + Take,かと
1,守る,to protect,Protect,まも
4,保守的,conservative,Preserve + Protect + Target,ほしゅてき
5,お守り,charm,Protect,まも
6,保守主義,conservatism,Preserve + Protect + Righteousness,ほしゅしゅぎ
1,保証,guarantee,Preserve + Evidence,ほしょう
2,証拠,evidence,Evidence + Based On,しょうこ
7,内緒話,secret talk,Together + Talk,ないしょばなし
0,浴びる,to dash over oneself (e.g. water),Bathe,あ
1,浴衣,yukata (light cotton kimono worn in the summer or used as a bathrobe),Bathe + Clothes,ゆかた
3,浴槽,bathtub,Bathe + Tank,よくそう
2,保護,protection,Preserve + Defend,ほご
4,保つ,to keep,Preserve,たも
9,生保,life insurance,Preserve,せいほ
1,危ない,dangerous,Dangerous,あぶ
2,危機,crisis,Dangerous + Machine,きき
3,危篤,critical condition,Dangerous + Deliberate,きとく
0,政治,politics,Politics + Cure,せいじ
1,政府,government,Politics + Government,せいふ
