Kanji,Meaning,Radicals,Sound
出席,attendance,Exit + Seat,しゅっせき
出会う,to meet (by chance),Exit + Meet,であ
提出,presentation (of documents),Present + Exit,ていしゅつ
思い出,memories,Think + Exit,おもで
取り出す,to take out,Take + Exit,とだ
噴出,spewing,Erupt + Exit,ふんしゅつ
排出,discharge,Reject + Exit,はいしゅつ
抽出,extraction,Pluck + Exit,ちゅうしゅつ
吹き出す,to spout out,Blow + Exit,ふだ
出版社,publisher,Exit + Edition + Company,しゅっぱんしゃ
出所,source,Exit + Place,しゅっしょ
猟犬,hound,Hunting + Dog,りょうけん
子犬,puppy,Child + Dog,こいぬ
負け犬,loser,Lose + Dog,まいぬ
柴犬,shiba inu (dog breed),Brushwood + Dog,しばいぬ
子供,child,Child + Servant,こども
帽子,hat,Hat + Child,ぼうし
椅子,chair,Chair + Child,いす
息子,son,Breath + Child,むすこ
電子,electron,Electricity + Child,でんし
男の子,boy,Man + Child,おとここ
お菓子,confections,Cake + Child,かし
障子,shoji (paper sliding door),Hinder + Child,しょうじ
孤児,orphan,Orphan + Child,こじ
原子,atom,Original + Child,げんし
調子,tune,Investigate + Child,ちょうし
王子,prince,King + Child,おうじ
迷子,lost child,Astray + Child,まいご
子孫,descendant,Child + Grandchild,しそん
小指,little finger,Small + Finger,こゆび
扇子,folding fan,Folding Fan + Child,せんす
皇太子,crown prince,Emperor + Fat + Child,こうたいし
遺伝子,gene,Leave Behind + Transmit + Child,いでんし
車椅子,wheelchair,Car + Chair + Child,くるまいす
子守唄,lullaby,Child + Protect + Shamisen Song,こもりうた
子牛,calf,Child + Cow,こうし
養子,adopted child (usu. male),Foster + Child,ようし
妻子,wife and children,Wife + Child,さいし
粒子,particle,Grains + Child,りゅうし
辛子,mustard,Spicy + Child,からし
子猫,kitten,Child + Cat,こねこ
原子爆弾,atomic bomb,Original + Child + Explode + Bullet,げんしばくだん
手紙,letter,Hand + Paper,てがみ
切手,stamp (postage),Cut + Hand,きって
手袋,glove,Hand + Sack,てぶくろ
握手,handshake,Grip + Hand,あくしゅ
拍手,clapping hands,Beat + Hand,はくしゅ
助手,assistant,Help + Hand,じょしゅ
お手洗い,toilet,Hand + Wash,てあら
手首,wrist,Hand + Neck,てくび
手洗い,washing one's hands,Hand + Wash,てあら
手錠,handcuffs,Hand + Lock,てじょう
手伝う,to help,Hand + Transmit,てつだ
相手,companion,Mutual + Hand,あいて
歌手,singer,Song + Hand,かしゅ
選手,player (of a sport),Choose + Hand,せんしゅ
苦手,poor (at),Suffering + Hand,にがて
手続き,procedure,Hand + Continue,てつづ
手ごろ,handy,Hand,て
派手,showy,Sect + Hand,はで
手帳,notebook,Hand + Notebook,てちょう
運転手,driver,Carry + Revolve + Hand,うんてんしゅ
手がかり,clue,Hand,て
投手,pitcher,Throw + Hand,とうしゅ
騎手,horseman,Horse + Hand,きしゅ
勝手,one's own convenience,Win + Hand,かって
両手,both hands,Both + Hand,りょうて
左手,left hand,Left + Hand,ひだりて
右手,right hand,Right + Hand,みぎて
手渡す,to hand (over),Hand + Transit,てわた
片手,one hand,One Sided + Hand,かたて
手作り,handmade,Hand + Make,てづく
手のひら,palm (of the hand),Hand,て
売り手,seller,Sell + Hand,うて
手荷物,hand luggage,Hand + Luggage + Thing,てにもつ
左右,left and right,Left + Right,さゆう
左利き,left-handedness,Left + Profit,ひだりき
