Kanji,Meaning,Radicals,Sound
自由,freedom,Self + Reason,じゆう
自然,nature,Self + Nature,しぜん
自殺,suicide,Self + Kill,じさつ
自信,self-confidence,Self + Believe,じしん
自己,self,Self + Oneself,じこ
自慢,pride,Self + Ridicule,じまん
自動,automatic,Self + Move,じどう
各自,each (person),Each + Self,かくじ
自覚,self-consciousness,Self + Memorize,じかく
自在,being able to do as one pleases,Self + Exist,じざい
自動詞,intransitive verb,Self + Move + Part Of Speech,じどうし
自宅,one's home,Self + House,じたく
自動的,automatic,Self + Move + Target,じどうてき
自制,self-control,Self + Control,じせい
自民党,Liberal Democratic Party,Self + Peoples + Group,じみんとう
自粛,self-restraint,Self + Solemn,じしゅく
自炊,cooking for oneself,Self + Cook,じすい
私自身,myself,I + Self + Body,わたしじしん
自販機,vending machine,Self + Sell + Machine,じはんき
自己紹介,self-introduction,Self + Oneself + Introduce + Jammed In,じこしょうかい
自叙伝,autobiography,Self + Describe + Transmit,じじょでん
自衛,self-defense,Self + Defense,じえい
自家製,homemade,Self + House + Manufacture,じかせい
自愛,taking care of oneself,Self + Love,じあい
電池,battery,Electricity + Pond,でんち
空港,airport,Sky + Harbor,くうこう
航空,aviation,Navigation + Sky,こうくう
開ける,"to open (a door, etc.)",Open,あ
虚しい,empty,Void,むな
開く,to open (e.g. doors),Open,あ
空間,space,Sky + Interval,くうかん
空襲,air-raid,Sky + Attack,くうしゅう
航空券,airline ticket,Navigation + Sky + Ticket,こうくうけん
青空,blue sky,Blue + Sky,あおぞら
空席,empty seat,Sky + Seat,くうせき
空き缶,empty can,Sky + Can,あかん
空欄,blank column,Sky + Column,くうらん
弁当,bento,Dialect + Correct,べんとう
適当,suitable,Suitable + Correct,てきとう
当てる,to hit,Correct,あ
当たり前,natural,Correct + Before,あまえ
該当,corresponding to,The Above + Correct,がいとう
当然,natural,Correct + Nature,とうぜん
穏当,proper,Calm + Correct,おんとう
豚肉,pork,Pork + Meat,ぶたにく
筋肉,muscle,Muscle + Meat,きんにく
鶏肉,chicken meat,Chicken + Meat,とりにく
焼肉,yakiniku,Bake + Meat,やきにく
肉屋,butcher's shop,Meat + Roof,にくや
脂身,fat (of meat),Fat + Body,あぶらみ
鯨肉,whale meat,Whale + Meat,げいにく
麦畑,wheat field,Wheat + Field,むぎばたけ
牧草,pasture,Pasture + Grass,ぼくそう
草地,grassland,Grass + Earth,くさち
草稿,notes,Grass + Draft,そうこう
草刈り,mowing,Grass + Prune,くさか
芝草,lawn,Lawn + Grass,しばくさ
販売,sale,Sell + Sell,はんばい
売る,to sell,Sell,う
商売,trade,Merchandise + Sell,しょうばい
売れる,to sell (well),Sell,う
発売,sale,Departure + Sell,はつばい
購買,procurement,Subscription + Buy,こうばい
卸売,wholesale,Wholesale + Sell,おろしうり
安売り,bargain sale,Relax + Sell,やすう
前売り券,ticket sold in advance,Before + Sell + Ticket,まえうけん
発売中,on sale,Departure + Sell + Middle,はつばいちゅう
葉書,postcard,Leaf + Write,はがき
西洋,the West,West + Western Style,せいよう
西暦,Common Era,West + Calendar,せいれき
西側,west side,West + Side,にしがわ
叫び声,shout,Shout + Voice,さけごえ
鳴き声,cry (of an animal),Chirp + Voice,なごえ
泣き声,cry (e.g. of a baby),Cry + Voice,なごえ
金属,metal,Gold + Belong,きんぞく
奨学金,scholarship,Encourage + Study + Gold,しょうがくきん
金庫,safe,Gold + Storage,きんこ
お金,money,Gold,かね
預金,deposit,Deposit + Gold,よきん
借金,debt,Borrow + Gold,しゃっきん
貯金,putting money aside,Savings + Gold,ちょきん
料金,fee,Fee + Gold,りょうきん
税金,tax,Tax + Gold,ぜいきん
賞金,prize money,Prize + Gold,しょうきん
金魚,goldfish (Carassius auratus),Gold + Fish,きんぎょ
針金,wire,Needle + Gold,はりがね
資金,funds,Resources + Gold,しきん
募金,fundraising,Recruit + Gold,ぼきん
罰金,fine,Penalty + Gold,ばっきん
敷金,(security) deposit,Spread + Gold,しききん
金髪,blond hair,Gold + Hair,きんぱつ
錬金術,alchemy,Tempering + Gold + Art,れんきんじゅつ
金持ち,rich person,Gold + Hold,かねも
献金,donation,Offer + Gold,けんきん
集金,money collection,Collect + Gold,しゅうきん
貯金箱,savings box,Savings + Gold + Box,ちょきんばこ
金星,Venus (planet),Gold + Star,きんせい
峡谷,gorge,Ravine + Valley,きょうこく
走る,to run,Run,はし
脱走,escape,Undress + Run,だっそう
暴走,acting rashly,Violence + Run,ぼうそう
走り回る,to run around,Run + Times,はしまわ
帆走,sailing,Sail + Run,はんそう
疾走,sprint,Rapid + Run,しっそう
暴走族,young motorcycle-riding delinquents,Violence + Run + Tribe,ぼうそうぞく
奔走,running about,Run + Run,ほんそう
雷雨,thunderstorm,Thunder + Rain,らいう
図書館,library,Diagram + Write + Public Building,としょかん
地図,map,Earth + Diagram,ちず
合図,sign,Suit + Diagram,あいず
図る,to plan,Diagram,はか
意図的,intentional,Idea + Diagram + Target,いとてき
略図,rough sketch,Abbreviation + Diagram,りゃくず
図説,illustration,Diagram + Theory,ずせつ
形容詞,adjective,Shape + Form + Part Of Speech,けいようし
髪型,hair style,Hair + Model,かみがた
形容動詞,adjectival noun (in Japanese),Shape + Form + Move + Part Of Speech,けいようどうし
複数形,plural form,Duplicate + Count + Shape,ふくすうけい
過去形,past tense,Surpass + Past + Shape,かこけい
辞書形,dictionary form,Quit + Write + Shape,じしょけい
観光,sightseeing,View + Sunlight,かんこう
光る,to shine,Sunlight,ひか
光景,scene,Sunlight + Scene,こうけい
光栄,honour,Sunlight + Prosperity,こうえい
栄光,glory,Prosperity + Sunlight,えいこう
観光客,tourist,View + Sunlight + Guest,かんこうきゃく
周り,circumference,Circumference,まわ
回転,rotation,Times + Revolve,かいてん
回る,to turn,Times,まわ
回復,restoration,Times + Restore,かいふく
回す,to turn,Times,まわ
巡る,to go around,Patrol,めぐ
回数券,coupon tickets,Times + Count + Ticket,かいすうけん
何回,how many times,What + Times,なんかい
次回,next time (occasion),Next + Times,じかい
回想,recollection,Times + Concept,かいそう
前回,previous time,Before + Times,ぜんかい
毎回,every time,Every + Times,まいかい
巡回,going around,Patrol + Times,じゅんかい
撤回,withdrawal,Withdrawal + Times,てっかい
旋回,revolution,Rotation + Times,せんかい
駆け回る,to run around,Gallop + Times,かまわ
先回り,going on ahead,Previous + Times,さきまわ
一回,once,One + Times,いっかい
茶色,brown,Tea + Color,ちゃいろ
黄色,yellow,Yellow + Color,きいろ
灰色,grey,Ashes + Color,はいいろ
景色,scenery,Scene + Color,けしき
色彩,colour,Color + Coloring,しきさい
銀色,"silver (color, colour)",Silver + Color,ぎんいろ
桃色,"pink (colour, color)",Peach + Color,ももいろ
緑色,green,Green + Color,みどりいろ
色盲,color-blindness,Color + Blind,しきもう
彩り,coloring,Coloring,いろど
彩る,to colour,Coloring,いろど
紫色,purple,Purple + Color,むらさきいろ
角度,angle,Angle + Degrees,かくど
角膜,cornea,Angle + Membrane,かくまく
音楽,music,Sound + Comfort,おんがく
発音,pronunciation,Departure + Sound,はつおん
騒音,noise,Boisterous + Sound,そうおん
録音,(audio) recording,Record + Sound,ろくおん
雑音,noise (usu. unpleasant),Random + Sound,ざつおん
超音速,supersonic speed,Ultra + Sound + Fast,ちょうおんそく
音痴,tone deafness,Sound + Stupid,おんち
超音波,ultrasonic waves,Ultra + Sound + Wave,ちょうおんぱ
音読み,on reading,Sound + Read,おんよ
音訓,kanji readings,Sound + Instruction,おんくん
南米,South America,South + Rice,なんべい
欧米,Europe and the United States,Europe + Rice,おうべい
玄米,unpolished rice,Mysterious + Rice,げんまい
米国,(United States of) America,Rice + Country,べいこく
全米,all-America,All + Rice,ぜんべい
旅行,travel,Trip + Go,りょこう
飛行機,airplane,Fly + Go + Machine,ひこうき
銀行,bank,Silver + Go,ぎんこう
行動,action,Go + Move,こうどう
行く,to go,Go,い
行う,to perform,Go,おこな
急行,hurrying (to somewhere),Hurry + Go,きゅうこう
孝行,filial piety,Filial Piety + Go,こうこう
行為,act,Go + Sake,こうい
進行,moving forward (e.g. of a vehicle),Advance + Go,しんこう
行き,the way there,Go,い
流行,fashion,Stream + Go,りゅうこう
遂行,accomplishment,Accomplish + Go,すいこう
直行,going straight (to),Fix + Go,ちょっこう
壮行,(rousing) send-off,Robust + Go,そうこう
親孝行,filial piety,Parent + Filial Piety + Go,おやこうこう
旅行者,traveller,Trip + Go + Someone,りょこうしゃ
新婚旅行,honeymoon,New + Marriage + Trip + Go,しんこんりょこう
流行歌,popular song,Stream + Go + Song,りゅうこうか
施行,putting in force (a law),Carry Out + Go,しこう
刊行,publication,Edition + Go,かんこう
作家,author,Make + House,さっか
作業,work,Make + Business,さぎょう
作る,to make,Make,つく
作戦,tactics,Make + War,さくせん
操作,operation,Manipulate + Make,そうさ
傑作,masterpiece,Greatness + Make,けっさく
作者,creator (of a work),Make + Someone,さくしゃ
製作,manufacture,Manufacture + Make,せいさく
原作,original work,Original + Make,げんさく
耕作,cultivation,Plow + Make,こうさく
著作権,copyright,Author + Make + Rights,ちょさくけん
著作,writing (a book),Author + Make,ちょさく
稲作,rice cultivation,Rice Plant + Make,いなさく
会社,company,Meet + Company,かいしゃ
社会,society,Company + Meet,しゃかい
神社,Shinto shrine,God + Company,じんじゃ
社長,company president,Company + Long,しゃちょう
靖国神社,Yasukuni Shrine,Peaceful + Country + God + Company,やすくにじんじゃ
社会党,Socialist Party,Company + Meet + Group,しゃかいとう
社員,company employee,Company + Member,しゃいん
社会福祉,social welfare,Company + Meet + Luck + Welfare,しゃかいふくし
会社員,company employee,Meet + Company + Member,かいしゃいん
貿易会社,trading company,Trade + Easy + Meet + Company,ぼうえきがいしゃ
未来,(distant) future,Not Yet + Come,みらい
来週,next week,Come + Week,らいしゅう
将来,future,Commander + Come,しょうらい
再来週,week after next,Again + Come + Week,さらいしゅう
従来,up to now,Obey + Come,じゅうらい
同じ,same,Same,おな
共同,cooperation,Together + Same,きょうどう
同僚,coworker,Same + Colleague,どうりょう
同時,same time,Same + Time,どうじ
同感,same feeling,Same + Feeling,どうかん
同盟,alliance,Same + Alliance,どうめい
同伴,accompanying,Same + Accompany,どうはん
同胞,brethren,Same + Cell,どうほう
呉越同舟,bitter enemies in the same boat,Give + Go Beyond + Same + Boat,ごえつどうしゅう
言葉,language,Say + Leaf,ことば
辞典,dictionary,Quit + Rule,じてん
言語,language,Say + Language,げんご
言う,to say,Say,い
助言,advice,Help + Say,じょげん
証言,testimony,Evidence + Say,しょうげん
言葉遣い,speech,Say + Leaf + Dispatch,ことばづか
宣言,declaration,Proclaim + Say,せんげん
無言,silence (not speaking),Nothing + Say,むごん
片言,prattle,One Sided + Say,かたこと
会議,meeting,Meet + Deliberation,かいぎ
会話,conversation,Meet + Talk,かいわ
会議室,conference room,Meet + Deliberation + Room,かいぎしつ
議会,congress,Deliberation + Meet,ぎかい
会う,to meet,Meet,あ
宴会,party,Banquet + Meet,えんかい
機会,chance,Machine + Meet,きかい
会員,member,Meet + Member,かいいん
都会,city,Metropolis + Meet,とかい
協会,association,Cooperation + Meet,きょうかい
委員会,committee,Committee + Member + Meet,いいんかい
運動会,athletic meet (esp. at a school),Carry + Move + Meet,うんどうかい
博覧会,exhibition,Exhibition + Look At + Meet,はくらんかい
展示会,exhibition,Expand + Indicate + Meet,てんじかい
英会話,English conversation,England + Meet + Talk,えいかいわ
飲み会,drinking party,Drink + Meet,のかい
舞踏会,ball,Dance + Step + Meet,ぶとうかい
近い,near,Near,ちか
近く,near,Near,ちか
近所,neighbourhood,Near + Place,きんじょ
最近,recently,Most + Near,さいきん
近視,myopia,Near + Look At,きんし
近頃,lately,Near + Approximate,ちかごろ
付近,neighborhood,Attach + Near,ふきん
近郊,outskirts,Near + Suburbs,きんこう
近づく,to approach,Near,ちか
近道,shorter way,Near + Road,ちかみち
近隣,neighbourhood,Near + Neighbor,きんりん
近距離,short distance,Near + Distance + Detach,きんきょり
考える,"to think (about, of)",Think,かんが
考え,thinking,Think,かんが
考慮,consideration,Think + Consider,こうりょ
毎朝,every morning,Every + Morning,まいあさ
毎晩,every night,Every + Night,まいばん
毎度,each time,Every + Degrees,まいど
青い,blue,Blue,あお
青銅,bronze,Blue + Copper,せいどう
青葉,fresh leaves,Blue + Leaf,あおば
学校,school,Study + School,がっこう
数学,mathematics,Count + Study,すうがく
科学,science,Science + Study,かがく
医学,medical science,Medicine + Study,いがく
高等学校,senior high school,Tall + Equal + Study + School,こうとうがっこう
学者,scholar,Study + Someone,がくしゃ
留学,studying abroad,Detain + Study,りゅうがく
学期,school term,Study + Period Of Time,がっき
哲学,philosophy,Philosophy + Study,てつがく
学ぶ,to learn,Study,まな
学歴,academic background,Study + Continuation,がくれき
幾何学,geometry,How Many + What + Study,きかがく
独学,self-education,Alone + Study,どくがく
経済学,economics,Passage Of Time + Come To An End + Study,けいざいがく
倫理学,ethics,Ethics + Reason + Study,りんりがく
解剖学,anatomy,Untie + Divide + Study,かいぼうがく
学院,institute,Study + Institution,がくいん
薬学,(study of) pharmacy,Medicine + Study,やくがく
修辞学,rhetoric,Discipline + Quit + Study,しゅうじがく
哲学者,philosopher,Philosophy + Study + Someone,てつがくしゃ
何故,why,What + Circumstance,なぜ
何故なら,because,What + Circumstance,なぜ
何度,how many times,What + Degrees,なんど
いつ頃,about when,Approximate,ごろ
何時,what time,What + Time,なんじ
体育,physical education,Body + Nurture,たいいく
液体,liquid,Fluid + Body,えきたい
死体,dead body,Death + Body,したい
体操,gymnastics,Body + Manipulate,たいそう
体積,capacity,Body + Accumulate,たいせき
体験,(practical) experience,Body + Test,たいけん
体重,(body) weight,Body + Heavy,たいじゅう
胴体,trunk,Torso + Body,どうたい
抗体,antibody,Confront + Body,こうたい
媒体,medium,Mediator + Body,ばいたい
失態,blunder,Fault + Appearance,しったい
遺体,(dead) body,Leave Behind + Body,いたい
体系的,systematic,Body + Lineage + Target,たいけいてき
以前,before,By Means Of + Before,いぜん
お前,you,Before,まえ
駅前,in front of a station,Station + Before,えきまえ
寸前,just before,Measurement + Before,すんぜん
前兆,omen,Before + Omen,ぜんちょう
前面,front part,Before + Face,ぜんめん
地震,earthquake,Earth + Earthquake,じしん
地球,Earth,Earth + Sphere,ちきゅう
地域,area,Earth + Region,ちいき
位置,place,Rank + Put,いち
遊園地,amusement park,Play + Garden + Earth,ゆうえんち
地獄,hell realm,Earth + Prison,じごく
地理,geography,Earth + Reason,ちり
墓地,cemetery,Grave + Earth,ぼち
地帯,zone,Earth + Belt,ちたい
意地悪,malicious,Idea + Earth + Bad,いじわる
各地,each place,Each + Earth,かくち
聖地,sacred place,Holy + Earth,せいち
路地,alley,Road + Earth,ろじ
沼地,marshland,Bog + Earth,ぬまち
地面,ground,Earth + Face,じめん
窮地,dilemma,Destitute + Earth,きゅうち
地価,the price of land,Earth + Value,ちか
耕地,arable land,Plow + Earth,こうち
乳首,nipple,Milk + Neck,ちくび
頷く,to nod,,うなず
首班,head,Neck + Squad,しゅはん
縛り首,(death by) hanging,Bind + Neck,しばくび
主唱,advocacy,Master + Chant,しゅしょう
首になる,to be sacked,Neck,くび
海岸,coast,Sea + Coast,かいがん
津波,tsunami,Haven + Wave,つなみ
海軍,navy,Sea + Army,かいぐん
海賊,pirate,Sea + Robber,かいぞく
海がめ,sea turtle,Sea,うみ
向こう,opposite side,Yonder,む
傾向,tendency,Lean + Yonder,けいこう
向ける,to turn (towards),Yonder,む
向く,to turn toward,Yonder,む
向け,intended for ...,Yonder,む
対向,counter-,Versus + Yonder,たいこう
紅茶,black tea,Deep Red + Tea,こうちゃ
喫茶店,coffee shop,Consume + Tea + Shop,きっさてん
無茶,absurd,Nothing + Tea,
茶の湯,tea ceremony,Tea + Hot Water,ちゃゆ
茶屋,teahouse,Tea + Roof,ちゃや
抹茶,matcha,Erase + Tea,まっちゃ
姉妹,sisters,Older Sister + Younger Sister,しまい
有る,to be,Have,あ
有益,beneficial,Have + Benefit,ゆうえき
有難う,thank you,Have + Difficult,ありがと
有罪,guilt,Have + Guilt,ゆうざい
共有,joint ownership,Together + Have,きょうゆう
有毒,poisonous,Have + Poison,ゆうどく
富裕,wealthy,Rich + Abundant,ふゆう
映画,movie,Reflect + Drawing,えいが
映画館,movie theatre,Reflect + Drawing + Public Building,えいがかん
漫画,cartoon,Manga + Drawing,まんが
計画,plan,Measure + Drawing,けいかく
企画,planning,Plan + Drawing,きかく
描く,to draw,Draw,えが
油絵,oil painting,Oil + Drawing,あぶらえ
画像,image,Drawing + Statue,がぞう
教室,classroom,Teach + Room,きょうしつ
研究室,laboratory,Sharpen + Research + Room,けんきゅうしつ
待合室,waiting room,Wait + Suit + Room,まちあいしつ
和室,Japanese-style room,Peace + Room,わしつ
客室,guest room (at a hotel),Guest + Room,きゃくしつ
個室,single (room),Individual + Room,こしつ
更衣室,locker room,Again + Clothes + Room,こういしつ
部室,clubroom,Part + Room,ぶしつ
皇室,Imperial household,Emperor + Room,こうしつ
洋室,Western-style room,Western Style + Room,ようしつ
東京,Tokyo,East + Capital,とうきょう
京都,"Kyoto (city, prefecture)",Capital + Metropolis,きょうと
お姉さん,older sister,Older Sister,ねえ
垂直,vertical,Dangle + Fix,すいちょく
値段,price,Value + Steps,ねだん
直す,to repair,Fix,なお
治る,to get better,Cure,なお
直接,direct,Fix + Adjoin,ちょくせつ
直径,diameter,Fix + Diameter,ちょっけい
仲直り,reconciliation,Relationship + Fix,なかなお
硬直,stiffening,Stiff + Fix,こうちょく
直接的,direct,Fix + Adjoin + Target,ちょくせつてき
書き直す,to write out,Write + Fix,かなお
全部,all,All + Part,ぜんぶ
安全,safety,Relax + All,あんぜん
全然,(not) at all,All + Nature,ぜんぜん
全員,all members,All + Member,ぜんいん
完全,perfect,Perfect + All,かんぜん
全国,the whole country,All + Country,ぜんこく
全て,everything,All,すべ
全く,really,All,まった
全身,whole (body),All + Body,ぜんしん
全額,total,All + Amount,ぜんがく
全治,complete recovery,All + Cure,ぜんち
全般的,general,All + Generally + Target,ぜんぱんてき
全景,panoramic view,All + Scene,ぜんけい
血液,blood,Blood + Fluid,けつえき
血圧,blood pressure,Blood + Pressure,けつあつ
輸血,blood transfusion,Transport + Blood,ゆけつ
血管,blood vessel,Blood + Pipe,けっかん
混血,mixed race,Mix + Blood,こんけつ
高血圧,high blood pressure,Tall + Blood + Pressure,こうけつあつ
献血,blood donation,Offer + Blood,けんけつ
血液型,blood type,Blood + Fluid + Model,けつえきがた
吸血鬼,vampire,Suck + Blood + Demon,きゅうけつき
鼻血,nosebleed,Nose + Blood,はなぢ
血族,blood relative,Blood + Tribe,けつぞく
散歩,walk,Scatter + Walk,さんぽ
歩道,footpath,Walk + Road,ほどう
歩く,to walk,Walk,ある
一歩,(a) step,One + Walk,いっぽ
初歩,basics,First + Walk,しょほ
食堂,dining room,Eat + Hall,しょくどう
食事,meal,Eat + Action,しょくじ
食欲,appetite (for food),Eat + Want,しょくよく
食べ物,food,Eat + Thing,たもの
食べる,to eat,Eat,た
食料品,foodstuff,Eat + Fee + Product,しょくりょうひん
食卓,dining table,Eat + Table,しょくたく
食器,tableware,Eat + Container,しょっき
洋食,Western food,Western Style + Eat,ようしょく
腐食,rot,Rot + Eat,ふしょく
侵食,encroachment,Invade + Eat,しんしょく
和食,Japanese food,Peace + Eat,わしょく
試食,sampling food,Try + Eat,ししょく
後ろ,back,Behind,うし
最後,end,Most + Behind,さいご
遅れる,to be late,Slow,おく
以後,after this,By Means Of + Behind,いご
背後,back,Back + Behind,はいご
後悔,regret,Behind + Regret,こうかい
零点,"zero (points, marks)",Zero + Point,れいてん
欠点,fault,Lack + Point,けってん
要点,gist,Need + Point,ようてん
満点,perfect score,Full + Point,まんてん
弱点,weak point,Weak + Point,じゃくてん
焦点,focus,Char + Point,しょうてん
点数,marks,Point + Count,てんすう
終点,terminus,End + Point,しゅうてん
点ける,to turn on,Point,つ
点滴,raindrops,Point + Drip,てんてき
拠点,base (of operations),Based On + Point,きょてん
盲点,blind spot (on the retina),Blind + Point,もうてん
共通点,point in common,Together + Pass Through + Point,きょうつうてん
汚点,stain,Dirty + Point,おてん
国際,international,Country + Occasion,こくさい
国境,border (between countries),Country + Boundary,こっきょう
国民,people (of a country),Country + Peoples,こくみん
国籍,nationality,Country + Enroll,こくせき
帝国,empire,Sovereign + Country,ていこく
国旗,national flag,Country + Flag,こっき
国債,national debt,Country + Debt,こくさい
国宝,national treasure,Country + Treasure,こくほう
鎖国,national isolation,Chain + Country,さこく
韓国,South Korea,Korea + Country,かんこく
英国,United Kingdom,England + Country,えいこく
隣国,neighbouring country,Neighbor + Country,りんごく
消化,digestion (of food),Extinguish + Change,しょうか
進化,evolution,Advance + Change,しんか
変化,change,Change + Change,へんか
増加,increase,Increase + Add,ぞうか
化粧,make-up,Change + Cosmetics,けしょう
知識,knowledge,Know + Discerning,ちしき
知恵,wisdom,Know + Favor,ちえ
知る,to know,Know,し
無知,ignorance,Nothing + Know,むち
承知,knowledge,Consent + Know,しょうち
知り合い,acquaintance,Know + Suit,しあ
察知,to sense,Guess + Know,さっち
恥知らず,shameless,Shame + Know,はじし
お知らせ,notice,Know,し
愛知県,Aichi prefecture (Chūbu area),Love + Know + Prefecture,あいちけん
教科書,textbook,Teach + Science + Write,きょうかしょ
深夜,late at night,Deep + Night,しんや
徹夜,staying up all night,Penetrate + Night,てつや
思う,to think,Think,おも
思想,thought,Think + Concept,しそう
思わず,unconsciously,Think,おも
思いやり,consideration,Think,おも
南極,South Pole,South + Extreme,なんきょく
南瓜,pumpkin (Cucurbita sp.),South + Melon,かぼちゃ
南東,southeast,South + East,なんとう
南口,south entrance,South + Mouth,みなみぐち
南緯,southern latitude,South + Latitude,なんい
亡くなる,to die,Death,な
失う,to lose,Fault,うしな
死亡,death,Death + Death,しぼう
逃亡,escape,Escape + Death,とうぼう
滅びる,to go to ruin,Destroy,ほろ
滅亡,downfall,Destroy + Death,めつぼう
滅ぼす,to destroy,Destroy,ほろ
亡霊,departed spirit,Death + Ghost,ぼうれい
説明,explanation,Theory + Bright,せつめい
証明,proof,Evidence + Bright,しょうめい
明るい,light,Bright,あか
透明,transparent,Transparent + Bright,とうめい
照明,illumination,Illuminate + Bright,しょうめい
賢明,wise,Clever + Bright,けんめい
明朗,cheerful,Bright + Bright,めいろう
明治,Meiji era (1868.9.8-1912.7.30),Bright + Cure,めいじ
釈明,explanation,Explanation + Bright,しゃくめい
説明書,(printed) instructions,Theory + Bright + Write,せつめいしょ
証明書,certificate,Evidence + Bright + Write,しょうめいしょ
聡明,wise,Wise + Bright,そうめい
明治維新,Meiji Restoration (1868),Bright + Cure + Maintain + New,めいじいしん
店員,employee (of a store),Shop + Member,てんいん
支店,branch office,Support + Shop,してん
商店街,shopping district,Merchandise + Shop + Street,しょうてんがい
閉店,closing up shop (for the day),Close + Shop,へいてん
店舗,shop,Shop + Shop,てんぽ
両替,change,Both + Replace,りょうがえ
両側,both sides,Both + Side,りょうがわ
両者,pair,Both + Someone,りょうしゃ
両腕,both arms,Both + Arm,りょううで
両翼,both wings,Both + Wing,りょうよく
両日,both days,Both + Sun,りょうじつ
曲がる,to bend,Music,ま
戯曲,drama,Play + Music,ぎきょく
曲げる,to bend,Music,ま
曲線,curve,Music + Line,きょくせん
歌謡曲,kayōkyoku,Song + Noh Chanting + Music,かようきょく
名曲,famous piece of music,Name + Music,めいきょく
安い,cheap,Relax,やす
治安,public order,Cure + Relax,ちあん
安泰,peace,Relax + Peace,あんたい
議長,chair,Deliberation + Long,ぎちょう
長い,"long (distance, length)",Long,なが
課長,section manager,Section + Long,かちょう
延長,extension,Prolong + Long,えんちょう
長寿,long life,Long + Lifespan,ちょうじゅ
長さ,length,Long,なが
東側,east side,East + Side,ひがしがわ
東口,east entrance,East + Mouth,ひがしぐち
東亜,East Asia,East + Asia,とうあ
東京都,Tokyo Metropolis (prefecture),East + Capital + Metropolis,とうきょうと
衛星,(natural) satellite,Defense + Star,えいせい
恒星,star,Constant + Star,こうせい
星占い,astrology,Star + Fortune,ほしうらな
土星,Saturn (planet),Dirt + Star,どせい
水星,Mercury (planet),Water + Star,すいせい
死ぬ,to die,Death,し
死刑,death penalty,Death + Punish,しけい
必死,frantic,Certain + Death,ひっし
脳死,brain death,Brain + Death,のうし
死刑囚,criminal condemned to death,Death + Punish + Criminal,しけいしゅう
餓死,(death from) starvation,Starve + Death,がし
急死,sudden death,Hurry + Death,きゅうし
即死,instant death,Instant + Death,そくし
凍死,death from cold,Frozen + Death,とうし
弱い,weak,Weak,よわ
虚弱,feebleness,Void + Weak,きょじゃく
薄弱,feebleness,Dilute + Weak,はくじゃく
黒板,blackboard,Black + Board,こくばん
黒い,black,Black,くろ
真っ黒,pitch black,Reality + Black,まくろ
黒幕,black curtain,Black + Curtain,くろまく
漆黒,jet-black,Lacquer + Black,しっこく
黒潮,Kuroshio Current,Black + Tide,くろしお
黒煙,black smoke,Black + Smoke,こくえん
黒い霧,thick fog (of suspicion),Black + Fog,くろきり
教育,education,Teach + Nurture,きょういく
教授,professor,Teach + Instruct,きょうじゅ
宗教,religion,Religion + Teach,しゅうきょう
教える,to teach,Teach,おし
教師,teacher,Teach + Teacher,きょうし
教訓,lesson,Teach + Instruction,きょうくん
教え,teaching,Teach,おし
家庭教師,(home) tutor,House + Garden + Teach + Teacher,かていきょうし
仏教,Buddhism,Buddha + Teach,ぶっきょう
以降,on and after,By Means Of + Descend,いこう
夏至,summer solstice,Summer + Attain,げし
普通,normal,Normal + Pass Through,ふつう
通勤,commuting to work,Pass Through + Work,つうきん
通貨,currency,Pass Through + Freight,つうか
通る,to go by,Pass Through,とお
通う,to go to and from (a place),Pass Through,かよ
通り,street,Pass Through,とお
通す,to stick through,Pass Through,とお
週末,weekend,Week + End,しゅうまつ
隔週,every other week,Isolate + Week,かくしゅう
強盗,robber,Strong + Steal,ごうとう
勉強,study,Exertion + Strong,べんきょう
強い,strong,Strong,つよ
強制,compulsion,Strong + Control,きょうせい
強調,emphasis,Strong + Investigate,きょうちょう
強烈,strong,Strong + Violent,きょうれつ
傲慢,haughty,Proud + Ridicule,ごうまん
番組,program (e.g. TV),Number In A Series + Group,ばんぐみ
組織,organization,Group + Weave,そしき
枠組み,frame,Frame + Group,わくぐ
必ず,always,Certain,かなら
必需品,necessities,Certain + Demand + Product,ひつじゅひん
必須,indispensable,Certain + Necessary,ひっす
必至,inevitable,Certain + Attain,ひっし
必須条件,essential condition,Certain + Necessary + Clause + Matter,ひっすじょうけん
家族,family,House + Tribe,かぞく
家庭,home,House + Garden,かてい
屋根,roof,Roof + Root,やね
家具,furniture,House + Tool,かぐ
家事,housework,House + Action,かじ
馬鹿,idiot,Horse + Deer,
家畜,domestic animals,House + Livestock,かちく
家賃,rent,House + Rent,やちん
家政婦,housekeeper,House + Politics + Wife,かせいふ
建築家,architect,Build + Construct + House,けんちくか
芸術家,artist,Acting + Art + House,げいじゅつか
借家,rented house,Borrow + House,しゃくや
隣家,neighbouring house,Neighbor + House,りんか
荷札,label,Luggage + Bill,にふだ
値札,price tag,Value + Bill,ねふだ
御札,amulet or talisman issued by a Shinto shrine,Honorable + Bill,おふだ
イカ,cuttlefish,,
魚雷,torpedo,Fish + Thunder,ぎょらい
魚屋,fish market,Fish + Roof,さかなや
鮮魚,fresh fish,Fresh + Fish,せんぎょ
焼き鳥,yakitori,Bake + Bird,やとり
鳥肌,gooseflesh,Bird + Skin,とりはだ
風船,balloon (toy or decoration),Wind + Boat,ふうせん
漁船,fishing boat,Fishing + Boat,ぎょせん
船舶,vessel,Boat + Ship,せんぱく
汽船,steamship,Steam + Boat,きせん
船員,sailor,Boat + Member,せんいん
船酔い,seasickness,Boat + Drunk,ふなよ
貨物船,freighter (vessel),Freight + Thing + Boat,かもつせん
