Kanji,Meaning,Radicals,Sound
泳,Swim,Tsunami + Drop + Water,およ
定,Determine,Roof + Coat Rack,てい
勝,Win,Moon + Horns + Train + Power,しょう
苦,Suffering,Flowers + Old,く
界,World,Rice Paddy + Hut,かい
持,Hold,Fingers + Temple,も
待,Wait,Loiter + Temple,ま
予,Beforehand,Mama + Street,よ
客,Guest,Roof + Winter + Mouth,きゃく
相,Mutual,Tree + Eye,そう
要,Need,Helicopter + Woman,よう
屋,Roof,Flag + Ground + Private + Dirt,や
表,Express,King + Kick,ひょう
度,Degrees,Hick + Stool,ど
実,"Truth, Reality",Roof + Dirt + Big,じっ
受,"Accept, Receive",Cleat + Forehead + Stool,う
物,Thing,Cow + Wing,もの
調,Investigate,Say + Circumference,ちょう
速,Fast,Treadmill + Bundle,そく
酒,Alcohol,Tsunami + Alcohol,さか
葉,Leaf,Flowers + World + Tree,は
業,Business,Spikes + Sheep + Fins,ぎょう
軽,Lightweight,Car + Tombstone,けい
読,Read,Say + Sell *,どく
病,"Sick, Illness",Sick + Dynamite,びょう
習,Learn,Feathers + White,しゅう
算,Calculate,Bamboo + Eye + Twenty,さん
院,Institution,Building + Roof + Origin,いん
飲,Drink,Eat + Lack,の
顔,Face,Stand + Cliff + Hair + Geoduck,かお
路,Road,Foot + Kiss,ろ
聞,Hear,Gate + Ear,ぶん
最,Most,Sun + Ear + Stool,さい
転,Revolve,Car + Cloud,てん
漢,Chinese,Tsunami + Chinese,かん
親,Parent,Stand + Tree + See,おや
語,Language,Say + Five + Mouth,ご
歌,"Song, Sing",Lip Ringx2 + Lack,うた
集,"Collect, Gather",Turkey + Tree,しゅう
配,Distribute,Alcohol + Oneself,はい
起,Wake Up,Run + Oneself,お
鉄,Iron,Gold + Fault *,てつ
鳴,Chirp,Mouth + Bird,な
横,Side,Tree + Yellow,よこ
落,Fall,Flowers + Tsunami + Kiss,お
開,Open,Gate + Lantern,かい
運,"Carry, Luck",Treadmill + Forehead + Car,うん
農,"Farming, Agriculture",Music + Landslide *,のう
線,Line,Thread + White + Water,せん
進,Advance,Treadmill + Turkey,しん
終,"End, Finish",Thread + Winter + Two,お
頭,Head,Beans + Geoduck,とう
競,Compete,Stand + Older Brother,きょう
位,Rank,Leader + Stand,い
低,Low,Leader + Clan + Ground,てい
労,Labor,Viking + Power,ろう
昔,Long Ago,Blackjack + Sun,むかし
特,Special,Cow + Temple,とく
波,Wave,Tsunami + Skin *,なみ
意,Idea,Sound + Heart *,い
共,Together,Blackjack + Fins,きょう
戦,"War, Battle",Simple + Drunkard,せん
育,"Nurture, Raise",Boob + Moon,いく
伝,"Transmit, Tell",Leader + Cloud,でん
努,Toil,Woman + Stool + Power,ど
神,God,Spirit + Humble,しん
働,"Work, Labor",Leader + Heavy + Power,どう
級,"Rank, Grade, Level",Thread + Escalator,きゅう
仲,Relationship,Leader + Middle,なか
老,Elderly,Coffin + Spoon,ろう
味,"Flavor, Taste",Mouth + Jet,み
命,Fate,Orders + Mouth,めい
便,Convenience,Leader + Ground + Rice Paddy + Treasure,びん
初,First,Spirit + Sword,はじ
拾,Pick Up,Fingers + Suit,ひろ
岸,"Coast, Shore",Mountain + Cliff + Dry,がん
功,"Achievement, Accomplishment",Construction + Power,こう
良,Good,Drop + Root,よ
好,Like,Woman + Child,す
指,Finger,Fingers + Spoon + Sun,ゆび
放,Release,Direction + Winter,ほう
令,Orders,Orders,れい
利,Profit. Benefit,Grain + Knife,り
成,Become,Drunkard + Sword,せい
秒,Second,Grain + Few *,びょう
追,"Follow, Chase",Treadmill + Bear,お
注,Pour,Tsunami + Master,ちゅう
争,Conflict,Prison + Wolverine + Barb,そう
別,Separate,Mouth + Sword + Knife,べつ
洋,"Western Style, Ocean",Tsunami + Sheep,よう
植,Plant,Tree + Fix *,しょく
階,"Floor, Story",Building + Compare + White,かい
短,Short,Arrow + Beans,たん
島,Island,Bird + Mountain,しま
泉,"Spring, Fountain",White + Water,せん
温,Warm,Tsunami + Sun + Plate,おん
深,Deep,Tsunami + Pi + Tree,しん
員,Member,Mouth + Shellfish,いん
第,Ordinal Number Prefix,Bamboo + Younger Brother *,だい
族,"Tribe, Family",Direction + Gun + Arrow,ぞく
庭,Garden,Mullet + Yoga + King,てい
動,Move,Heavy + Power,どう
商,Merchandise,Stand + Legs + Mustache,しょう
根,Root,Tree + Root,ね
悲,Sad,Criminal + Heart,ひ
